,Unnamed: 0,source_text,target_text,generated
472,27625,"I had no right to expect much , and I did not expect much ; but I had no idea that he could be","so very clownish , so totally without air ."," so well-prepared, and I could not have imagined it."
473,24277,I can not enter into particulars of their conduct ; suffice it to say that for all the latter part of their stay in Bath it has been a continual course of deception,", of nefarious and vulgar schemes for their own aggrandizement ."," of the people, and that they have been a constant course of deceit "
474,15724,"She could imagine Mrs Clay to have said , that `` now Miss Anne was come , she could not suppose herself at all wanted ; '' for Elizabeth was replying in a sort of","whisper , `` That must not be any reason , indeed ."," awe of the present, and she could not help thinking that it was a"
475,1287,"My father and mother will be very glad to see you. ” “ And I hope -- I hope , Miss Morland , you will not",be sorry to see me. ” “ Oh !, be able to come to me.
476,37056,"Elinor had heard enough , if not to gratify her vanity , and raise her self-importance , to agitate her nerves and fill her mind ; -- and she was therefore glad to be spared from the necessity of saying much in reply herself , and from the danger","of hearing any thing more from her brother , by the entrance of Mr. Robert Ferrars ."," of being misled by the smallest detail, which could have been a very unpleasant"
477,18126,"Now , at Sotherton we have a good seven hundred , without reckoning the water meadows ; so that I think , if so much could be","done at Compton , we need not despair .",", that it would be very convenient, if not for the water."
478,37757,"-- was repeated by Marianne and her mother in an accent of the utmost amazement ; -- and though Elinor could not speak , even HER eyes",were fixed on him with the same impatient wonder .," were in the utmost glare, and she could not speak."
479,1039,"Do not you think it has an odd appearance , if young ladies are frequently driven about in them by young men , to whom they are not even related ? ” “","Yes , my dear , a very odd appearance indeed ."," “ Oh, I do not know what to say, but I do know what to"
480,1656,"After being used to such a home as the abbey , an ordinary parsonage-house must be very disagreeable. ” He smiled , and said , “ You have formed a very favourable idea","of the abbey. ” “ To be sure , I have .",", Mr. Darcy, for a parsonage-house in "
481,14399,"Excepting one short period of her life , she had never , since the age of fourteen , never since the loss of her dear mother , known the happiness of being listened","to , or encouraged by any just appreciation or real taste ."," to, and loved by others."
482,22365,"She had a few tender reveries now and then , which he could sometimes take advantage of to look in her face without detection ; and the result of these looks was , that though as bewitching as","ever , her face was less blooming than it ought to be ."," he was, he could not have been more frightened by them "
483,10928,"He never said a great deal , nor did she give herself the trouble of talking or of listening much ; but it struck her in the course of their third rencontre that he was asking some odd unconnected questions -- about her pleasure in being at Hunsford , her love of solitary walks , and her opinion of Mr. and Mrs. Collins 's happiness ; and that in speaking of Rosings and","her not perfectly understanding the house , he seemed to expect that whenever she came into Kent again she would be staying _there_ too ."," the Earls, he was asking some very unrelated questions about the Earls "
484,29168,"That nature had given it in feature could not be unseen by the young woman , nor could her higher powers",of mind be unfelt by the parents .," be, if they were to be."
485,12535,"My dear Jane , I am in such a flutter , that I am sure I ca n't write ; so I will","dictate , and you write for me ."," write, but I will not."
486,2676,Her intimacy there had made him seriously determine on her being handsomely legacied hereafter ; and to speak of her therefore as the almost,acknowledged future heiress of Fullerton naturally followed .," heir of the house, was a very gratifying thought."
487,14220,"Mary , often a little unwell , and always thinking a great deal of her own complaints , and always in the habit of claiming Anne when anything was the matter , was indisposed ; and foreseeing that she should not have a day 's health all the autumn , entreated , or rather required her , for it was hardly entreaty , to come","to Uppercross Cottage , and bear her company as long as she should want her , instead of going to Bath .",", and to be able to speak, when she was ill, to"
488,2447,"“ You are too good , I am sure , to think the worse of me for the",part I am obliged to perform ., smallest part of your life.
489,31453,"my sins , my sins ! -- And I had plenty all the while in my pocket ! -- One of my senseless tricks ! -- I deserve to be under a continual blush all the rest of my life. -- Well -- ( sitting down again ) --",go on -- what else ? ” “ And had you really some at hand yourself ?," -- I had enough to cover my sleeve, my slee"
490,18518,"but of course it is ; for in these great places the gardeners are the only people who can go where they like. ” The door , however , proved not to be locked , and they were all agreed in","turning joyfully through it , and leaving the unmitigated glare of day behind ."," their opinion of the situation, and were all very happy about it."
491,8341,"Reginald , you agitate me beyond expression , I can not suppose that the old story of Mrs. Mainwaring 's jealousy can be revived again",", or at least be LISTENED to again .",", if it is not so, I shall be sure."
492,32845,"-- Bad enough as it is , for I absolutely neglect them both to an unpardonable degree. -- I believe I have not played a bar this fortnight. -- However , he is coming , I assure you : yes , indeed , on purpose to wait on you all. ” And putting up","her hand to screen her words from Emma -- “ A congratulatory visit , you know. -- Oh !"," a sign, he will be there, to greet you all."
493,1687,"In repassing through the small vaulted room , however , your eyes will be attracted towards a large , old-fashioned cabinet of ebony and gold , which , though narrowly","examining the furniture before , you had passed unnoticed .",", will, in fact, be a very attractive object for a visitor"
494,28103,"Let her marry Robert Martin , and she is safe , respectable , and happy for ever ; but if you encourage her to expect to marry greatly , and teach her to be satisfied with nothing less than a man of consequence and large fortune , she may be a parlour-boarder at Mrs. Goddard 's all the rest of her life -- or , at least , ( for Harriet Smith is a girl who will marry somebody or other , ) till she grow desperate , and is glad to","catch at the old writing-master 's son. ” “ We think so very differently on this point , Mr. Knightley , that there can be no use in canvassing it ."," marry, and is happy to be a part of the family, and to be"
495,25661,Mr. Price was evidently too sensible to expect to have the exclusive enjoyment of Kitty 's company,in such a small party .,", if he could afford it."
496,23955,"No command to play a second time followed , rather to Elizabeth 's surprise , but having a number of friends to take leave of , she could not give it much thought before her own departure , which her husband had insisted should","be an early one , in view of the journey on the following day ."," be the last thing she would do, and had no intention of returning to the house again"
497,4254,"The bed did exceedingly well for us , both to lie awake in and talk till two o'clock , and to",sleep in the rest of the night ., lie down in and talk till four o'clock.
498,33659,"Sir John Middleton , who called on them every day for the first fortnight , and who was not in the habit of seeing much occupation at home , could",not conceal his amazement on finding them always employed ., not have been more pleased with them than his wife.
499,14350,"She had never been staying there before , without being struck by it , or without wishing that other Elliots could have her advantage in seeing how unknown , or unconsidered there , were the affairs which at Kellynch Hall were treated as of such general publicity and pervading interest ; yet , with all this experience , she believed she must now submit to feel that another lesson , in the art of knowing our own nothingness beyond our own circle , was become necessary for her ; for certainly , coming as she did , with a heart full of the subject which had been completely occupying both houses in Kellynch for many weeks , she had expected rather more curiosity and sympathy than","she found in the separate but very similar remark of Mr and Mrs Musgrove : `` So , Miss Anne , Sir Walter and your sister are gone ; and what part of Bath do you think they will settle in ? ''",", in the case of the present situation, which had been affecting her,"
500,9392,This roused a general astonishment ; and he had the pleasure of being eagerly questioned by his wife,and five daughters at once .,", Miss Crawford, on the subject."
501,35616,"Mrs. Jennings , with a thoroughly good-humoured concern for its cause , admitted the excuse most readily , and Elinor , after seeing her safe off , returned to Marianne , whom she found attempting to rise from the bed , and whom she reached just in time to prevent her from falling on the floor , faint and giddy from a long want of proper rest and food ; for it was many days since she had any appetite , and many nights since she had really slept ; and now , when her mind","was no longer supported by the fever of suspense , the consequence of all this was felt in an aching head , a weakened stomach , and a general nervous faintness ."," was in a state of agitation, she could not help wishing that she"
502,26059,"I could not have believed that there was so much hidden talent among us , which would never have been unburied but for",the happy idea of these charades . '', the good of our friends.
503,1147,"But I do assure you that he must be entirely misunderstood , if he can ever appear to say an unjust thing of any woman at all , or an unkind one of me. ” It was no",effort to Catherine to believe that Henry Tilney could never be wrong .,", I could not help thinking that he was a very unjust man."
504,9797,"I pity you , Miss Eliza , for this discovery of your favourite 's guilt ; but really considering his descent ,",one could not expect much better . '', you can only imagine his guilt.
505,1779,"The wind roared down the chimney , the rain beat in torrents against the windows , and everything seemed to",speak the awfulness of her situation ., be in good time.
506,12051,"On his quitting the room , she sat down , unable to support herself , and looking so miserably ill , that it was impossible for Darcy to leave her , or to refrain from saying , in a","tone of gentleness and commiseration , `` Let me call your maid .", manner which she could not bear to express herself.
507,5290,"What you tell me of Miss Sharpe is quite new , and surprises me a little ; I feel",", however , as you do .", it is quite like a coincidence.
508,7573,"I did not think your dear papa appeared unwell , and I understand that he seemed much more comfortable after his return",from Winchester than he had done before .," to the country, than before."
509,4428,"I am afraid I can not undertake to carry Martha 's shoes home , for , though we had plenty of room in our trunks when we came , we shall have many more things to","take back , and I must allow besides for my packing ."," take home, and I am afraid I shall not be able to do so."
510,3464,"Nor can I pity the Kingdom for the misfortunes they experienced during her Reign , since they fully deserved them , for having allowed her to succeed her Brother -- which was a double peice of folly , since they might have foreseen that as she died without children ,","she would be succeeded by that disgrace to humanity , that pest of society , Elizabeth ."," she would have been left to die without a wife, without a husband,"
511,15334,"He had handed them both in , and placed himself between them ; and in this manner , under these circumstances , full of astonishment","and emotion to Anne , she quitted Lyme .",", he turned to them both."
512,31890,"Every body knows what is due to _you_. ” “ It will not do , ” whispered Frank to Emma ;",“ they are most of them affronted ., “ I will not do.
513,7701,"In his last letter he actually gave me some particulars of her behaviour at Langford , such as he received from a gentleman who knew her perfectly well , which , if true , must raise abhorrence","against her , and which Reginald himself was entirely disposed to credit .",", and, if true, raise astonishment."
514,15911,"A poor widow barely able to live , between thirty and forty ; a mere Mrs Smith , an every-day Mrs Smith , of all people and all names in the world , to be the chosen friend of Miss Anne Elliot , and to be",preferred by her to her own family connections among the nobility of England and Ireland !," a mere acquaintance, was the only thing that could prevent her from being the chosen wife"
515,30640,"They are but too apt to give up music. ” “ But you , who are so extremely fond of it -- there can be no danger , surely ? ” “ I should hope not ;","but really when I look around among my acquaintance , I tremble ."," I know I should, but I must not be so terribly concerned."
516,13558,"The feelings of the person who wrote , and the person who received it , are now so widely different from what they were then , that every","unpleasant circumstance attending it , ought to be forgotten .", person who wrote has a different opinion of the other.
517,12936,"Darcy , after enquiring of her how Mr. and Mrs. Gardiner did , a question which she could not answer without","confusion , said scarcely any thing .", a reply from Mr. and Mrs. Darcy.
518,11296,"It was the second week in May , in which the three young ladies set out together from Gracechurch-street , for the town of -- -- in Hertfordshire ; and , as they drew near the appointed inn where Mr. Bennet 's carriage was to meet them , they quickly perceived , in token","of the coachman 's punctuality , both Kitty and Lydia looking out of a dining-room up stairs .",", that they were to be the first of three young ladies to be invited to dinner at"
519,4535,"There are three parts of Bath which we have thought of as likely to have houses in them , -- Westgate Buildings , Charles Street , and some of the",short streets leading from Laura Place or Pulteney Street .," East End, where we have the pleasure of seeing the most beautiful houses."
520,30877,"My dear , did you change your stockings ? ” “ Yes , sir , I did indeed ; and I am very much obliged by your kind solicitude about me. ” “ My dear Miss Fairfax , young ladies are very sure",to be cared for. -- I hope your good grand-mama and aunt are well ., that I should be able to wear them again.
521,32387,"But you are too good for that , I am sure. ” Harriet was standing",at one of the windows ., in the front row.
522,25075,"He is an agreeable young fellow ; manners a little too self-possessed , perhaps , for his age , but they",are what these naval men acquire ., are not a problem for him.
523,11398,"`` Indeed , '' replied Elizabeth , `` I am heartily sorry for him ; but he has other feelings which will probably",soon drive away his regard for me ., be very difficult for him to bear.
524,31298,"“ She will think Frank ought to ask her. ” Frank turned instantly to Emma , to claim her former promise ; and boasted himself an engaged man , which his father looked his most perfect approbation of -- and it then appeared that Mrs. Weston was wanting _him_ to dance with Mrs. Elton himself , and","that their business was to help to persuade him into it , which was done pretty soon. -- Mr .",", in a very short time, he was going to ask her,"
525,33889,"`` You are mistaken , Elinor , '' said she warmly , `` in supposing I",know very little of Willoughby ., had been wrong. ''
526,22901,"How her heart swelled with joy and gratitude as she passed the barriers of Portsmouth , and how Susan 's face wore its","broadest smiles , may be easily conceived .", tan as she entered the city.
527,7402,"He returned yesterday from Steventon , and was with us by breakfast , bringing Edward with","him , only that Edwd .", him to Bath.
528,35410,"`` That is true , '' cried Marianne , in a cheerful voice , and walking to the window as she","spoke , to examine the day ."," walked, with a smile."
529,14579,"She had already acknowledged it to herself , and she could not think differently , let him think",of her as he would .," a little differently, and let him do it."
530,15154,"It was now proved that he belonged to the same inn as themselves ; and this second meeting , short as it was , also proved again by the gentleman 's looks , that he thought hers very lovely , and by the readiness and","propriety of his apologies , that he was a man of exceedingly good manners ."," zeal of his wife, who was to be with them, to be with"
531,28345,"One half of the world can not understand the pleasures of the other. ” Later in the morning , and just as the girls were going to separate in preparation for the regular four o'clock","dinner , the hero of this inimitable charade walked in again .",", Mrs. Crawford appeared to be interrupted by a loud clap."
532,27085,"Her pleasure was enhanced , a few days later , by receiving a letter from her cousin himself , the first he had been allowed to write , in which he spoke with gratitude of the happiness he had so nearly","missed , and thanked Georgiana affectionately for her share in bringing it about ."," wished for, and wished to give her a chance of seeing him again "
533,15127,"Indeed I think it quite melancholy to have such excellent people as Dr and Mrs Shirley , who have been doing good all their lives , wearing out their last days in a place like Uppercross , where ,","excepting our family , they seem shut out from all the world ."," they have been a very good housekeeper, and have been doing very well all their"
534,15678,"`` The last time I saw her she had a red nose , but I hope that may",not happen every day . '', be a sign of a change.
535,14519,"To be sure , I may just as well go as not , for I am of no",use at home -- am I ?," opinion, and I do not know what to do."
536,18097,"I hope I shall have some good friend to help me. ” “ Your best friend upon such an occasion , ” said Miss Bertram calmly , “ would be Mr. Repton ,",I imagine. ” “ That is what I was thinking of .," if you can find him, and I shall be happy to have him."
537,32583,"My acquaintance with him has been but trifling. -- And even if I have not underrated him hitherto , he may yet turn out well. -- With such a woman he has a chance. -- I have no motive for wishing him ill -- and for her sake , whose happiness will be involved in his good character and conduct , I shall certainly wish him well. ” “ I have no doubt of their being happy together , ” said Emma ; “","I believe them to be very mutually and very sincerely attached. ” “ He is a most fortunate man ! ” returned Mr. Knightley , with energy ."," I have no reason to doubt that he will be able to do so, but"
538,6299,"with Miss Clewes , Liz. , and Ma^ { rnne } , and it is but roughish weather for",any one in a tender state ., the rest of the week.
539,15065,"The first heedless scheme had been to go in the morning and return at night ; but to this Mr Musgrove , for the sake of his horses , would not consent ; and when it came to be rationally considered , a day in the middle of November would not leave much time for seeing a new","place , after deducting seven hours , as the nature of the country required , for going and returning ."," woman, or for a visit to the park, or for a visit to"
540,15340,"Once only , when she had been grieving over the last ill-judged , ill-fated walk to the Cobb , bitterly lamenting that it ever had been thought of , he burst forth , as if wholly overcome -- '' Do n't","talk of it , do n't talk of it , '' he cried ."," he, Miss Crawford, if you can, please? '"
541,22360,"It was really March ; but it was April in its mild air , brisk soft wind , and bright sun , occasionally clouded for a minute ; and everything looked so beautiful under the influence of such a sky , the effects of the shadows pursuing each other on the ships at Spithead and the island beyond , with the ever-varying hues of the sea , now at high water , dancing in its glee and dashing against the ramparts with so fine","a sound , produced altogether such a combination of charms for Fanny , as made her gradually almost careless of the circumstances under which she felt them ."," a glare, so fine, so fine, so fine,"
542,14002,"Her knowledge of her father and Elizabeth inclined her to think that the sacrifice of one pair of horses would be hardly less painful than of both , and so on , through",the whole list of Lady Russell 's too gentle reductions .," the remembrance of the past, and the remembrance of"
543,36590,She could hardly determine what her own expectation of its event really was ; though she earnestly tried to drive away the notion of its being possible to end otherwise at,"last , than in the marriage of Edward and Lucy ."," the last minute, she could not help thinking of what to do next."
544,33861,A few years however will settle her opinions on the reasonable basis of common sense and observation ; and then they may be more easy to define and to justify than,"they now are , by any body but herself . ''"," to justify, and more difficult to justify to justify."
545,9754,"A deeper shade of hauteur overspread his features , but he said not a word , and Elizabeth , though blaming herself for her","own weakness , could not go on ."," sex, did not speak a word."
546,25346,"In spite of this , Jane was not long in finding her way to her agitated sister and",in showing her the tenderest consideration ., her mother's house.
547,16865,"To feel that she ought to be in better circumstances , that a little trouble in the right place might do it , and to fear that delay might be","even weakening her claims , was hard to bear ."," a symptom of her being in a bad state, was unnatural."
548,6136,"By her own desire Mrs. Fanny [ 26 ] is to be put in the room next the nursery , her baby in a little bed by her ; and as Cassy is to have the closet within , and","Betsey William 's little hole , they will be all very snug together ."," the dining-room to be the main room, she is to have the bedroom to herself"
549,19566,"“ I come from your theatre , ” said he composedly , as he sat down ; “ I",found myself in it rather unexpectedly ., have a room in your house.
550,8188,"`` I beg your pardon , sir , for the liberty I have taken in sending for you , '' said I ; `` but as I have just learnt your intention of leaving this place to-day , I feel it my duty to entreat",that you will not on my account shorten your visit here even an hour .," you to forgive me for the inconvenience of leaving it, and to ask me to forgive you"
551,34765,"Charlotte laughed heartily to think that her husband could not get rid of her ; and exultingly said , she did not care how cross he was","to her , as they must live together .", ; but she did not care how far he was from her.
552,31696,"We are to walk about your gardens , and gather the strawberries ourselves , and sit under trees ; -- and whatever else you may like to provide , it is to be all out of","doors -- a table spread in the shade , you know ."," your hands, and to be all in your own hands. ''"
553,13701,"As soon as they entered , Bingley looked at her so expressively , and shook hands with such warmth , as left no doubt of his good information ; and he soon afterwards said aloud , `` Mr. Bennet , have you",no more lanes hereabouts in which Lizzy may lose her way again to-day ? ''," been in town lately, and I am sure you will soon be back."
554,8732,"`` His pride , '' said Miss Lucas , `` does not offend _me_ so much as pride often does ,",because there is an excuse for it ., _not_ to offend _you_.
555,31986,"I wish you could have heard her honouring your forbearance , in being able to pay her such attentions , as she was for ever receiving from yourself and your father , when her society must be so irksome. ” “ Oh ! ” cried Emma , “ I know there is not a better creature in the world : but you must allow , that what is good and what is ridiculous are most unfortunately blended in her. ” “ They are blended ,","” said he , “ I acknowledge ; and , were she prosperous , I could allow much for the occasional prevalence of the ridiculous over the good ."," ” said he, “ and I am sure you will not find them again "
556,12660,"Jane , I take your place now , and you must go lower , because I",am a married woman . '', have no choice but to go higher.
557,18968,"_I_ do not wish to make objections ; I shall be happy to be of any use , but I think we could not chuse worse. ” Fanny looked on and listened , not unamused to observe the selfishness which , more or less","disguised , seemed to govern them all , and wondering how it would end .",", had been exhibited by her sister, and a dreadful "
558,10597,"She saw instantly that her cousin 's manners were not altered by his marriage ; his formal civility was just what it had been , and he detained her some minutes at the",gate to hear and satisfy his enquiries after all her family .," reception, and gave her a warm welcome."
559,23710,"The party , however , was not destined to be so successfully divided for the whole day , and while they were all strolling about at Clifton , in the hour preceding diner , Elizabeth was taken possession of by her aunt",", to listen to some severe strictures upon her management of the family affairs .",", who was preparing to leave them for the day."
560,5829,I have allowed her to go as far as 1_l._ 16_s._ My gown is to be trimmed everywhere with white,ribbon plaited on somehow or other ., lace and a tassel.
561,15593,"Her father and sister were glad to see her , for the sake of shewing her the house and furniture",", and met her with kindness .",", and bringing her the best of health."
562,9730,"When those dances were over she returned to Charlotte Lucas , and was in conversation with her , when she found herself suddenly addressed by Mr. Darcy , who took her so much by surprise in his application for her","hand , that , without knowing what she did , she accepted him .",", that she could not help thinking of her as a suitable companion."
563,12989,"Mrs. Bennet had been strongly inclined to ask them to stay and dine there , that day ; but , though she always kept a very good table , she did not think any thing less than two courses , could be good enough for a man , on whom she had","such anxious designs , or satisfy the appetite and pride of one who had ten thousand a-year ."," been very dependent, to have a good time, and who was so very much"
564,37601,As for Willoughby -- to say that I shall soon or that I shall ever forget,"him , would be idle .", him -- I shall never know.
565,11642,"Those to her mother , contained little else , than that they were just returned from the library , where such and such officers had attended them , and where she had seen such beautiful ornaments as made her quite wild ; that she had a new gown , or a new parasol , which she would have described more fully , but was obliged to leave off in a violent hurry , as Mrs. Forster called her , and they were going to the camp ; -- and from her correspondence with her sister ,","there was still less to be learnt -- for her letters to Kitty , though rather longer , were much too full of lines under the words to be made public ."," she could have been sure that she had been going there for a week, and that"
566,34470,"Sometimes one is guided by what they say of themselves , and very frequently by what other people say of them , without giving",oneself time to deliberate and judge . '', any thought to what they think of others.
567,37108,"Elinor , however little concerned in it , joined in their discourse ; and Marianne , who had the knack of finding her way in every house to the library , however it might be avoided","by the family in general , soon procured herself a book ."," by a stranger, joined them in their conversation."
568,20260,"Henry Crawford was in the first glow of another scheme about Thornton Lacey ; and not being able to catch Edmund 's ear , was detailing it to",his fair neighbour with a look of considerable earnestness .," him, and he was able to tell him what had happened."
569,5309,"Lady Sondes is an impudent woman to come back into her old neighborhood again ; I suppose she pretends never to have married before , and wonders how her father",and mother came to have her christened Lady Sondes ., would have done it if he had been so young.
570,28881,The picture ! -- How eager he had been about the picture ! -- and the charade ! -- and an hundred other circumstances ; -- how,clearly they had seemed to point at Harriet .," he had been, and how he had been."
571,31409,"He had left them completely frightened ; and Harriet eagerly clinging to him , and hardly able to speak , had just strength enough to reach","Hartfield , before her spirits were quite overcome ."," the door, and speak, to avoid him."
572,13444,"`` Having thus offered you the sincere congratulations of Mrs. Collins and myself on this happy event , let me now add a short hint on the subject of another :",of which we have been advertised by the same authority .," '' Mr. Collins, I shall not be ashamed of it."
573,19538,"We have had such incessant rains almost since October began , that we have been nearly confined to",the house for days together ., the smallest part of the country.
574,21047,"At last -- it seemed an at last to Fanny 's nervousness , though not remarkably late -- he began to talk of going away ; but the comfort of the sound was impaired by his turning to her the next","moment , and saying , “ Have you nothing to send to Mary ?"," minute, and the recollection of his coming back again the next day."
575,3121,"That it is unfinished , I greive ; yet fear that from me , it will always remain so ; that as far as it is carried , it should be so trifling and so unworthy of you , is another concern to your obliged humble Servant Messrs Demand and Co -- please",to pay Jane Austen Spinster the sum of one hundred guineas on account of your Humble Servant .,", do not be so agitated, my dear Mr. Demand, for"
576,35923,"My object -- my wish -- my sole wish in desiring it -- I hope , I believe it is -- is to be a means of giving comfort ; -- no , I must not say comfort -- not","present comfort -- but conviction , lasting conviction to your sister 's mind ."," a means of giving comfort, but a means of giving it."
577,8153,"She shall have all the retribution in my power to make ; if she value her own happiness as much as I do , if she judge wisely , and command","herself as she ought , she may now be easy ."," her own happiness, she shall be in a position to be retributed "
578,16012,"I dare say I shall catch it ; and my sore-throats , you know , are always",worse than anybody 's . '', always in the best shape. ''
579,3331,"she still laments his Death with undiminished constancy , notwithstanding he has been dead more than six weeks ; but some",People mind such things more than others ., recollections of his being dead are still in her head.
580,10090,"`` It is evident by this , '' added Jane , `` that he comes back",no more this winter . '', with a very good spirit.
581,434,"Do go and see for her , Mr. Morland , said I -- but all in vain --",he would not stir an inch ., '' Mr.
582,36719,"But though confidence between them was , by this public discovery , restored to its proper state , it was not a subject on which either",of them were fond of dwelling when alone ., could have been entirely dependent.
583,17182,"`` And so , ma'am , all these thing considered , '' said Mrs Musgrove , in her powerful whisper , `` though we could have wished it different , yet , altogether , we did not think it fair to stand out any longer , for Charles Hayter was quite wild about it , and Henrietta was pretty near as bad ; and so we","thought they had better marry at once , and make the best of it , as many others have done before them ."," were quite happy to see him again, and to see him again again. '"
584,18471,"There is something in a chapel and chaplain so much in character with a great house , with one 's ideas",of what such a household should be !," of a great man, that one may not be bored."
585,5677,"I have contrived to pay my two visits , though the weather made me a great while about it , and left me only",a few minutes to sit with Charlotte Craven ., a little more to do.
586,20008,"In the drawing-room Mr. Crawford certainly was , having been just long enough arrived to be ready for dinner ; and the smiles and pleased looks of the three others standing round him , shewed how welcome was his",sudden resolution of coming to them for a few days on leaving Bath .,", to the company of his friends and acquaintances."
587,25102,"It tells us half instead of all we expected our correspondent to know , its advice has overlooked our difficulties and does not meet the case ,",its words of comfort are few and arid ., and it is indifferent to what we have been told.
588,29943,"“ One more ; -- they would not fatigue Miss Fairfax on any account , and would only ask for one more. ” without effort",; the first part is so very trifling .,", “ I will not give it up."
589,25788,"But I am sure you would not be pleased , if you saw me come crashing down at the first big fence , with your hundred-guinea",hunter doubled up in the further ditch . ''," shillings, and your ten-guinea-s."
590,11661,"One enjoyment was certain -- that of suitableness as companions ; a suitableness which comprehended health and temper to bear inconveniences -- cheerfulness to enhance every pleasure -- and affection and intelligence ,",which might supply it among themselves if there were disappointments abroad ., which could not be matched by any other.
591,37784,"But Elinor -- how are HER feelings to be described ? -- From the moment of learning that Lucy was married to another , that Edward was free , to the moment of his justifying the hopes which had","so instantly followed , she was every thing by turns but tranquil ."," been thrown away, to the moment of his expressing them, I can only"
592,32167,"Emma was gratified , to observe such a proof in her of strengthened character , and refrained from any",allusion that might endanger its maintenance ., objections which might have hampered her.
593,17637,"The little girl performed her long journey in safety ; and at Northampton was met by Mrs. Norris , who thus regaled in the credit of being foremost to welcome her , and in the importance of leading","her in to the others , and recommending her to their kindness ."," a safe journey, and bringing her to the very best of times."
594,15760,"It was now some years since Anne had begun to learn that she and her excellent friend could sometimes think differently ; and it did not surprise her , therefore , that Lady Russell should see nothing suspicious or inconsistent , nothing to require","more motives than appeared , in Mr Elliot 's great desire of a reconciliation ."," to be a little more careful than her sister, and to be more careful than her"
595,28572,Mr. Wingfield told me that he has never known them more general or heavy -- except when it has been quite an influenza. ” “ That has been a good deal the case,", my dear ; but not to the degree you mention .",", ” said he."
596,30618,"I am doatingly fond of music -- passionately fond ; -- and my friends say I am not entirely devoid of taste ; but as to any thing else , upon",my honour my performance is _mediocre_ to the last degree .," my own, I am not entirely devoid of taste. ''"
597,12052,"Is there nothing you could take , to give you present relief ? -- A glass of wine ; -- shall I get you one ? -- You are very ill. '' '' No , I","thank you ; '' she replied , endeavouring to recover herself ."," am not sure, but I can give you a glass of wine, if"
598,29677,The Coles expressed themselves so properly -- there was so much real attention in the manner of it --,so much consideration for her father ., and so much recollection in the manner of them.
599,13156,"He then shut the door , and coming up to her , claimed the good wishes",and affection of a sister ., of Mr. Darcy.
600,23492,"Next moment she perceived , or thought she perceived , that owing to an increased crowd in the lower part of the room she could not easily get back to her seat without making a little disturbance ; so she slipped into a chair in the front","row , which was allotted to the performers , thankful even for a short respite .",", and walked to the door, where she could see the lion."
601,14057,"I have had a little knowledge of their methods of doing business ; and I am free to confess that they have very liberal notions , and are as likely to make desirable",tenants as any set of people one should meet with .," as any body else, and that they are very much in favour of the welfare of others"
602,28620,"Perry. -- I want his directions no more than his drugs. ” He paused -- and growing cooler in a moment , added , with only sarcastic dryness , “ If Mr. Perry can tell me how to convey a wife and five children a distance of an hundred and thirty miles with no greater expense or inconvenience than a distance of forty , I should be as willing to prefer Cromer to South","End as he could himself. ” “ True , true , ” cried Mr. Knightley , with most ready interposition -- “ very true .",", as I would to prefer Northampton to Westampton, with a"
603,8409,"I wish we could bring dear Frederica too , but I am sorry to say that her mother 's errand hither was to fetch her away ; and , miserable as it made","the poor girl , it was impossible to detain her ."," her, she was not to be found by her aunt."
604,35030,"`` Mr. Edward Ferrars , the eldest son of Mrs. Ferrars , of Park Street , and brother of your sister-in-law , Mrs. John Dashwood , is the person I mean ; you must allow that I am not likely to be deceived",as to the name of the man on who all my happiness depends . '', by any one who claims to be a friend of yours. ''
605,33313,"For their brother 's sake , too , for the sake of his own heart , she rejoiced ; and she reproached herself for being unjust to his","merit before , in believing him incapable of generosity ."," sister, for the sake of his own happiness."
606,27593,"Dear Miss Woodhouse , he would be thirty years old ! ” “ Well , and that is as early as most men can afford to marry",", who are not born to an independence .",", but I do not know what to do."
607,26328,"The assurances of your loyalty should not be made to me , you owe them to Miss",Bennet and her only . ''," Miss Crawford, for her loyalty."
608,18859,"and being so near , to lose it all , was an injury to be keenly felt , and Mr.",Yates could talk of nothing else ., Crawford's recollection of it was very much felt.
609,29819,"She saw that Enscombe could not satisfy , and that Highbury , taken at its best , might reasonably please a young man who",had more retirement at home than he liked ., had been in town for a while.
610,35845,"`` Dear Ma'am , '' replied Elinor , smiling at the difference of the complaints for which it was recommended",", `` how good you are !",", and pointing out the difference in the manner."
611,20926,"It will be a bitter pill to her ; that is , like other bitter pills , it will have two moments ' ill flavour , and then be swallowed and forgotten ; for I am not such a coxcomb as to suppose her feelings","more lasting than other women 's , though _I_ was the object of them ."," are a good one, but I do not know what to expect from it."
612,7085,"The last note which Mrs. Lefroy had preserved is dated , -- MY DEAR ANNA , -- Cassy desires",her best thanks for the book ., you to marry me.
613,6193,"In return for all your matches , I announce that her brother William is going to marry a Miss Austen , of a Wiltshire family",", who say they are related to us .",", in the summer of this year."
614,27280,"And when the intimacy between the Rectory and the Park had been renewed under his sister 's auspices , what wonder if Kitty 's feelings",towards him changed somewhat with the changed circumstances ?, were rekindled? ''
615,11618,"When the party broke up , Lydia returned with Mrs. Forster to Meryton , from whence they were to",set out early the next morning ., be sent to be married.
616,24768,"Two months had elapsed before he heard of her arrival , with her sister , but it was not many days after that he contrived to be present at the house of a","mutual friend , where he knew her to be expected ."," woman, who had been in town for a while."
